System ID,MSE,MAE,R2 Score
900,0.326417351435106,0.5072308292612433,-3.721500724790987
910,1.1884218976528171,1.0774990513920784,-42.34507448333529
920,14.279889664341704,3.1217495292425155,-2.149116919517508
930,4.190289726239176,1.9178904846310616,-7.184386367414675
940,0.9451013562472241,0.6103094774764031,-0.6504754512102584
950,4.098805989764047,1.4102433362975717,-0.9425439234782729
960,2.40869871503033,1.084043633751571,-0.9526589076191281
970,0.3501797718463554,0.5672676239162684,-11.335827079663261
980,0.5803585281263338,0.6143207816407085,-1.8593526225481183
990,1.2424203628498638,0.9161737490445375,-2.0825768959359796
