,0
0,11.687686920166016
1,11.672696113586426
2,11.588006973266602
3,11.438080787658691
4,11.455968856811523
5,11.566960334777832
6,11.24335765838623
7,11.40630054473877
8,11.164782524108887
9,11.064409255981445
10,11.122475624084473
11,10.93095874786377
12,10.812118530273438
13,10.799663543701172
14,10.607956886291504
15,10.695883750915527
16,10.632701873779297
17,10.524986267089844
18,10.307412147521973
19,10.284213066101074
20,10.130586624145508
21,10.016046524047852
22,10.077621459960938
23,9.848745346069336
24,9.848024368286133
25,9.537837982177734
26,9.684754371643066
27,9.459328651428223
28,9.371866226196289
29,9.172771453857422
30,9.065324783325195
31,9.00819206237793
32,8.833379745483398
33,8.806177139282227
34,8.61915397644043
35,8.541895866394043
36,8.370105743408203
37,8.431004524230957
38,8.272662162780762
39,8.12444019317627
40,7.992527961730957
41,7.979534149169922
42,7.844781875610352
43,7.69498872756958
44,7.6105451583862305
45,7.484500885009766
46,7.449392795562744
47,7.332294464111328
48,7.216924667358398
49,7.146925926208496
50,7.052848815917969
51,6.994961738586426
52,6.822866916656494
53,6.809374809265137
54,6.660435676574707
55,6.625179767608643
56,6.468201160430908
57,6.378323078155518
58,6.398366451263428
59,6.234033107757568
60,6.006028652191162
61,5.985903263092041
62,5.978627681732178
63,5.9091796875
64,5.821193695068359
65,5.638398170471191
66,5.658154010772705
67,5.519034385681152
68,5.402102947235107
69,5.255395412445068
70,5.091149806976318
71,5.108870983123779
72,5.083693504333496
73,5.007132053375244
74,4.8781418800354
75,4.828604698181152
76,4.761845588684082
77,4.624561786651611
78,4.567704677581787
79,4.4150919914245605
80,4.483890533447266
81,4.3423919677734375
82,4.382920265197754
83,4.1817193031311035
84,4.238776206970215
85,4.141661167144775
86,4.098413467407227
87,4.084826469421387
88,4.004291534423828
89,3.9695804119110107
90,4.020495891571045
91,3.853200674057007
92,3.836719512939453
93,3.788756847381592
94,3.7773780822753906
95,3.7757036685943604
96,3.6548547744750977
97,3.6230599880218506
98,3.5951216220855713
99,3.5738072395324707
100,3.4908809661865234
101,3.4733166694641113
102,3.509992837905884
103,3.420975923538208
104,3.3856453895568848
105,3.389763593673706
106,3.3497121334075928
107,3.3727219104766846
108,3.3516218662261963
109,3.2993760108947754
110,3.235896587371826
111,3.197861433029175
112,3.150297164916992
113,3.1496851444244385
114,3.0755414962768555
115,3.0514395236968994
116,3.0424273014068604
117,3.0640695095062256
118,3.080026865005493
119,3.0257182121276855
120,3.012808084487915
121,3.005035877227783
122,2.907444953918457
123,2.8857696056365967
124,2.897143840789795
125,2.8613598346710205
126,2.8855066299438477
127,2.8324532508850098
128,2.7221474647521973
129,2.7712249755859375
130,2.760653257369995
131,2.781189441680908
132,2.743405342102051
133,2.67036509513855
134,2.6892893314361572
135,2.6267545223236084
136,2.610496997833252
137,2.6308393478393555
138,2.581254720687866
139,2.5359549522399902
140,2.5596065521240234
141,2.519111156463623
142,2.5309059619903564
143,2.5386741161346436
144,2.475994348526001
145,2.472569704055786
146,2.4781858921051025
147,2.4273741245269775
148,2.4100723266601562
149,2.3694896697998047
150,2.431673765182495
151,2.371018886566162
152,2.355541467666626
153,2.3289852142333984
154,2.282411575317383
155,2.3189425468444824
156,2.293168306350708
157,2.329739809036255
158,2.261166572570801
159,2.2874770164489746
160,2.1923108100891113
161,2.2422573566436768
162,2.173868417739868
163,2.2007601261138916
164,2.1723263263702393
165,2.150024652481079
166,2.1887006759643555
167,2.1284573078155518
168,2.128199815750122
169,2.1197102069854736
170,2.1000897884368896
171,2.056257486343384
172,2.0676445960998535
173,2.0129427909851074
174,2.056856632232666
175,1.990052342414856
176,2.0068917274475098
177,2.0305933952331543
178,1.9833730459213257
179,2.0021755695343018
180,1.9754656553268433
181,1.9533419609069824
182,1.9075926542282104
183,1.9526276588439941
184,1.928449273109436
185,1.8855379819869995
186,1.915109395980835
187,1.8192994594573975
188,1.872050166130066
189,1.8511978387832642
190,1.8644201755523682
191,1.8615477085113525
192,1.8072679042816162
193,1.847609043121338
194,1.7525701522827148
195,1.8049319982528687
196,1.792859435081482
197,1.7895348072052002
198,1.800278902053833
199,1.7299411296844482
200,1.7255373001098633
201,1.7417128086090088
202,1.7122453451156616
203,1.7109378576278687
204,1.695138692855835
205,1.6751340627670288
206,1.7017428874969482
207,1.6449713706970215
208,1.6410716772079468
209,1.6272779703140259
210,1.6498287916183472
211,1.6384700536727905
212,1.6243605613708496
213,1.6463311910629272
214,1.641387701034546
215,1.616619348526001
216,1.6080318689346313
217,1.6052439212799072
218,1.5691148042678833
219,1.5582633018493652
220,1.525486946105957
221,1.5641366243362427
222,1.5652198791503906
223,1.5532004833221436
224,1.5372669696807861
225,1.51729154586792
226,1.499271273612976
227,1.512774109840393
228,1.5034255981445312
229,1.488138198852539
230,1.4862325191497803
231,1.496109127998352
232,1.471298336982727
233,1.4828026294708252
234,1.4825783967971802
235,1.431774616241455
236,1.4435906410217285
237,1.4266151189804077
238,1.4401148557662964
239,1.401473879814148
240,1.3907989263534546
241,1.3812037706375122
242,1.4215513467788696
243,1.37982976436615
244,1.37906014919281
245,1.3718675374984741
246,1.3673049211502075
247,1.4017342329025269
248,1.3682464361190796
249,1.3275095224380493
250,1.316240668296814
251,1.3478612899780273
252,1.31853187084198
253,1.3495267629623413
254,1.322963833808899
255,1.3054434061050415
256,1.3286861181259155
257,1.294379472732544
258,1.3030890226364136
259,1.2893680334091187
260,1.2867292165756226
261,1.2803378105163574
262,1.2526923418045044
263,1.2578052282333374
264,1.250369906425476
265,1.252106785774231
266,1.2331918478012085
267,1.2267374992370605
268,1.2241103649139404
269,1.2050189971923828
270,1.2019269466400146
271,1.2229300737380981
272,1.198078989982605
273,1.2142102718353271
274,1.1554473638534546
275,1.158557415008545
276,1.1967278718948364
277,1.1868683099746704
278,1.1749053001403809
279,1.1673046350479126
280,1.1317577362060547
281,1.157549500465393
282,1.1739014387130737
283,1.1535742282867432
284,1.1370171308517456
285,1.126085638999939
286,1.1199790239334106
287,1.128127932548523
288,1.111201286315918
289,1.11575186252594
290,1.1085820198059082
291,1.0966603755950928
292,1.062150001525879
293,1.1083790063858032
294,1.0979870557785034
295,1.0566222667694092
296,1.0649491548538208
297,1.0826027393341064
298,1.0359996557235718
299,1.0065324306488037
300,1.0322682857513428
301,1.0228780508041382
302,1.0438804626464844
303,1.0366690158843994
304,1.011496901512146
305,1.0226709842681885
306,1.010902762413025
307,1.0274995565414429
308,0.9701745510101318
309,0.9890854954719543
310,0.9805030226707458
311,0.9722018241882324
312,1.0059444904327393
313,0.9753347039222717
314,0.9761999249458313
315,0.9511114358901978
316,0.9589919447898865
317,0.9420220255851746
318,0.9355632662773132
319,0.8976327180862427
320,0.9160001277923584
321,0.9345731139183044
322,0.937605082988739
323,0.931206226348877
324,0.9060093760490417
325,0.9264005422592163
326,0.9205469489097595
327,0.9038265347480774
328,0.8853665590286255
329,0.9146148562431335
330,0.9079379439353943
331,0.8851848244667053
332,0.8591611385345459
333,0.8638172745704651
334,0.8683789372444153
335,0.8430004119873047
336,0.8593235015869141
337,0.8465912342071533
338,0.8718397617340088
339,0.8578504323959351
340,0.8334633708000183
341,0.8120912313461304
342,0.8826478719711304
343,0.8350271582603455
344,0.8126131892204285
345,0.8069258332252502
346,0.8072535395622253
347,0.8242443799972534
348,0.8119089603424072
349,0.8139322996139526
350,0.7937372326850891
351,0.8213064074516296
352,0.7952092885971069
353,0.8005214333534241
354,0.7881250381469727
355,0.8029024004936218
356,0.7914840579032898
357,0.7557310461997986
358,0.7732712030410767
359,0.8027083873748779
360,0.790790855884552
361,0.7895849347114563
362,0.7532952427864075
363,0.7461426258087158
364,0.7491427063941956
365,0.7697885036468506
366,0.7591429352760315
367,0.7238094210624695
368,0.7391428351402283
369,0.7442115545272827
370,0.7658758163452148
371,0.754801869392395
372,0.7445164918899536
373,0.7127295136451721
374,0.7262203693389893
375,0.7235545516014099
376,0.7182992696762085
377,0.7137202024459839
378,0.7270529866218567
379,0.6970911026000977
380,0.7406735420227051
381,0.7035301327705383
382,0.7238026857376099
383,0.6939550638198853
384,0.7084687948226929
385,0.7169313430786133
386,0.6785035729408264
387,0.6877755522727966
388,0.7045193314552307
389,0.6687940359115601
390,0.6817275881767273
391,0.6784445643424988
392,0.6891263723373413
393,0.6858718395233154
394,0.6768752336502075
395,0.67250657081604
396,0.686789333820343
397,0.7239952683448792
398,0.6617113351821899
399,0.6481569409370422
400,0.6456015110015869
401,0.651645839214325
402,0.6722884774208069
403,0.6534567475318909
404,0.6606821417808533
405,0.6877492666244507
406,0.6667352318763733
407,0.67547208070755
408,0.6647292375564575
409,0.6769660711288452
410,0.6385814547538757
411,0.6275182962417603
412,0.6755871176719666
413,0.652046799659729
414,0.6733216047286987
415,0.6413088440895081
416,0.632961630821228
417,0.595605731010437
418,0.6424475908279419
419,0.6533815860748291
420,0.6236786246299744
421,0.6366876363754272
422,0.6507683396339417
423,0.6552298665046692
424,0.6336726546287537
425,0.6026982665061951
426,0.6179959774017334
427,0.6166492700576782
428,0.6402461528778076
429,0.6065869331359863
430,0.6115658283233643
431,0.6147345900535583
432,0.6266663670539856
433,0.6049894690513611
434,0.6014474034309387
435,0.6042300462722778
436,0.6032224893569946
437,0.575336217880249
438,0.6174583435058594
439,0.6008198261260986
440,0.6132903695106506
441,0.603783369064331
442,0.5930933952331543
443,0.6046435832977295
444,0.5931447148323059
445,0.5998104810714722
446,0.5737047791481018
447,0.5697705745697021
448,0.5995051860809326
449,0.624090850353241
450,0.6163173913955688
451,0.6057051420211792
452,0.5738762617111206
453,0.6002349853515625
454,0.6348510980606079
455,0.5613503456115723
456,0.606186032295227
457,0.5783795118331909
458,0.5662532448768616
459,0.5814727544784546
460,0.5749955773353577
461,0.5962710380554199
462,0.5910791754722595
463,0.5941540002822876
464,0.6067990660667419
465,0.5760295987129211
466,0.5944279432296753
467,0.5981704592704773
468,0.5909484028816223
469,0.5543725490570068
470,0.5627971291542053
471,0.554267168045044
472,0.5914117097854614
473,0.5887007713317871
474,0.5772348046302795
475,0.5597165822982788
476,0.5683022141456604
477,0.5350469946861267
478,0.5831807851791382
479,0.5724865794181824
480,0.5835493803024292
481,0.5609127879142761
482,0.5561115741729736
483,0.569290041923523
484,0.5694637894630432
485,0.5706319808959961
486,0.5800637006759644
487,0.5538123250007629
488,0.5493659973144531
489,0.5390627980232239
490,0.5776761174201965
491,0.5797140002250671
492,0.570063591003418
493,0.5704110264778137
494,0.5594954490661621
495,0.5466033220291138
496,0.5582543611526489
497,0.5287424325942993
498,0.5826137661933899
499,0.5502012968063354
500,0.5418787002563477
501,0.5463312864303589
502,0.5638654828071594
503,0.5676305294036865
504,0.551032543182373
505,0.5254120826721191
506,0.5301896929740906
507,0.5529342889785767
508,0.5191397666931152
509,0.521777868270874
510,0.5490235090255737
511,0.5466288328170776
512,0.5556412935256958
513,0.5101789832115173
514,0.5231369733810425
515,0.5661147832870483
516,0.5508238673210144
517,0.5151867270469666
518,0.5370007753372192
519,0.5403029918670654
520,0.5042676329612732
521,0.5387663841247559
522,0.5492333769798279
523,0.5478012561798096
524,0.5163686871528625
525,0.5099260210990906
526,0.5653072595596313
527,0.5153360962867737
528,0.5383164286613464
529,0.542572021484375
530,0.562389612197876
531,0.5414894819259644
532,0.5309620499610901
533,0.5197405219078064
534,0.5449601411819458
535,0.5217454433441162
536,0.532260537147522
537,0.5305181741714478
538,0.493694543838501
539,0.5172747373580933
540,0.49999964237213135
541,0.48668158054351807
542,0.5253227353096008
543,0.5201785564422607
544,0.5391416549682617
545,0.5255082249641418
