System ID,MSE,MAE,R2 Score
900,0.01315499688236015,0.09115341637283565,0.8097180586705581
910,0.011695020589304203,0.09207985550165176,0.573449850151094
920,4.17978781770636,1.466199415922165,0.07823933894946877
930,0.3028252848801327,0.42426489979028714,0.4085279789219145
940,17.350063471965278,2.9759335712064057,-29.29924107941689
950,36.61157489935995,4.860527810417116,-16.35129511553569
960,1.6391233308456123,0.7430502193048596,-0.328787511983091
970,0.09385633013230699,0.24819938160479066,-2.306288803431858
980,0.3600241876135813,0.45884206611663103,-0.7737933624532856
990,2.90567380206767,1.0558858272433282,-6.209285357199693
